No.;Distance [µm];Name;Time [ms];Z Pos;X Pos;Y Pos;Blue(1);Green(1);Red(1)
1;0;Captured;1194628506;0;0;0;58;51;30
2;0,034;Captured;1194628506;0;0;0;58;51;30
3;0,068;Captured;1194628506;0;0;0;60;48;31
4;0,102;Captured;1194628506;0;0;0;60;49;30
5;0,136;Captured;1194628506;0;0;0;62;48;31
6;0,17;Captured;1194628506;0;0;0;61;49;32
7;0,204;Captured;1194628506;0;0;0;61;49;32
8;0,238;Captured;1194628506;0;0;0;59;49;30
9;0,273;Captured;1194628506;0;0;0;60;49;30
10;0,307;Captured;1194628506;0;0;0;61;48;26
11;0,341;Captured;1194628506;0;0;0;59;48;28
12;0,375;Captured;1194628506;0;0;0;59;47;30
13;0,409;Captured;1194628506;0;0;0;60;48;33
14;0,443;Captured;1194628506;0;0;0;59;49;31
15;0,477;Captured;1194628506;0;0;0;60;47;29
16;0,511;Captured;1194628506;0;0;0;60;49;28
17;0,545;Captured;1194628506;0;0;0;59;49;30
18;0,579;Captured;1194628506;0;0;0;60;48;30
19;0,613;Captured;1194628506;0;0;0;61;48;30
20;0,647;Captured;1194628506;0;0;0;61;47;30
21;0,681;Captured;1194628506;0;0;0;62;47;31
22;0,715;Captured;1194628506;0;0;0;61;48;31
23;0,749;Captured;1194628506;0;0;0;60;48;30
24;0,784;Captured;1194628506;0;0;0;59;49;30
25;0,818;Captured;1194628506;0;0;0;62;48;32
26;0,852;Captured;1194628506;0;0;0;62;48;33
27;0,886;Captured;1194628506;0;0;0;61;50;32
28;0,92;Captured;1194628506;0;0;0;61;50;30
29;0,954;Captured;1194628506;0;0;0;60;50;30
30;0,988;Captured;1194628506;0;0;0;61;48;30
31;1 022;Captured;1194628506;0;0;0;61;49;30
32;1 056;Captured;1194628506;0;0;0;61;50;31
33;1,09;Captured;1194628506;0;0;0;61;50;31
34;1 124;Captured;1194628506;0;0;0;59;50;32
35;1 158;Captured;1194628506;0;0;0;60;50;32
36;1 192;Captured;1194628506;0;0;0;62;48;30
37;1 226;Captured;1194628506;0;0;0;62;49;31
38;1,26;Captured;1194628506;0;0;0;63;46;31
39;1 295;Captured;1194628506;0;0;0;62;49;30
40;1 329;Captured;1194628506;0;0;0;61;49;30
41;1 363;Captured;1194628506;0;0;0;59;46;30
42;1 397;Captured;1194628506;0;0;0;58;48;31
43;1 431;Captured;1194628506;0;0;0;60;48;30
44;1 465;Captured;1194628506;0;0;0;60;48;32
45;1 499;Captured;1194628506;0;0;0;59;49;32
46;1 533;Captured;1194628506;0;0;0;60;49;31
47;1 567;Captured;1194628506;0;0;0;60;49;30
48;1 601;Captured;1194628506;0;0;0;58;48;30
49;1 635;Captured;1194628506;0;0;0;60;49;30
50;1 669;Captured;1194628506;0;0;0;59;49;28
51;1 703;Captured;1194628506;0;0;0;60;47;28
52;1 737;Captured;1194628506;0;0;0;60;47;29
53;1 771;Captured;1194628506;0;0;0;61;49;31
54;1 806;Captured;1194628506;0;0;0;61;48;30
55;1,84;Captured;1194628506;0;0;0;60;49;30
56;1 874;Captured;1194628506;0;0;0;60;52;30
57;1 908;Captured;1194628506;0;0;0;59;49;30
58;1 942;Captured;1194628506;0;0;0;59;49;30
59;1 976;Captured;1194628506;0;0;0;61;50;30
60;2,01;Captured;1194628506;0;0;0;61;47;31
61;2 044;Captured;1194628506;0;0;0;61;49;30
62;2 078;Captured;1194628506;0;0;0;58;49;30
63;2 112;Captured;1194628506;0;0;0;60;48;30
64;2 146;Captured;1194628506;0;0;0;61;47;31
65;2,18;Captured;1194628506;0;0;0;60;48;30
66;2 214;Captured;1194628506;0;0;0;62;48;29
67;2 248;Captured;1194628506;0;0;0;61;48;30
68;2 282;Captured;1194628506;0;0;0;64;47;31
69;2 317;Captured;1194628506;0;0;0;64;48;32
70;2 351;Captured;1194628506;0;0;0;64;53;31
71;2 385;Captured;1194628506;0;0;0;64;50;29
72;2 419;Captured;1194628506;0;0;0;65;51;30
73;2 453;Captured;1194628506;0;0;0;64;51;30
74;2 487;Captured;1194628506;0;0;0;63;49;30
75;2 521;Captured;1194628506;0;0;0;63;49;30
76;2 555;Captured;1194628506;0;0;0;62;50;29
77;2 589;Captured;1194628506;0;0;0;62;48;29
78;2 623;Captured;1194628506;0;0;0;62;50;30
79;2 657;Captured;1194628506;0;0;0;62;49;30
80;2 691;Captured;1194628506;0;0;0;62;48;31
81;2 725;Captured;1194628506;0;0;0;61;47;32
82;2 759;Captured;1194628506;0;0;0;60;48;31
83;2 793;Captured;1194628506;0;0;0;60;47;32
84;2 828;Captured;1194628506;0;0;0;59;48;31
85;2 862;Captured;1194628506;0;0;0;59;48;31
86;2 896;Captured;1194628506;0;0;0;60;47;32
87;2,93;Captured;1194628506;0;0;0;59;45;32
88;2 964;Captured;1194628506;0;0;0;59;46;32
89;2 998;Captured;1194628506;0;0;0;61;51;32
90;3 032;Captured;1194628506;0;0;0;64;52;30
91;3 066;Captured;1194628506;0;0;0;64;49;30
