No.;Distance [µm];Name;Time [ms];Z Pos;X Pos;Y Pos;Blue(1);Green(1);Red(1)
1;0;A2.jpg;1195009704;0;0;0;78;79;6
2;0,034;A2.jpg;1195009704;0;0;0;78;77;7
3;0,068;A2.jpg;1195009704;0;0;0;77;83;7
4;0,102;A2.jpg;1195009704;0;0;0;75;81;7
5;0,136;A2.jpg;1195009704;0;0;0;77;81;7
6;0,17;A2.jpg;1195009704;0;0;0;78;83;7
7;0,204;A2.jpg;1195009704;0;0;0;78;82;7
8;0,238;A2.jpg;1195009704;0;0;0;78;79;8
9;0,273;A2.jpg;1195009704;0;0;0;78;81;8
10;0,307;A2.jpg;1195009704;0;0;0;78;81;7
11;0,341;A2.jpg;1195009704;0;0;0;78;82;7
12;0,375;A2.jpg;1195009704;0;0;0;77;89;7
13;0,409;A2.jpg;1195009704;0;0;0;78;84;7
14;0,443;A2.jpg;1195009704;0;0;0;79;81;7
15;0,477;A2.jpg;1195009704;0;0;0;79;82;8
16;0,511;A2.jpg;1195009704;0;0;0;78;84;8
17;0,545;A2.jpg;1195009704;0;0;0;80;84;8
18;0,579;A2.jpg;1195009704;0;0;0;81;83;8
19;0,613;A2.jpg;1195009704;0;0;0;80;83;7
20;0,647;A2.jpg;1195009704;0;0;0;79;82;7
21;0,681;A2.jpg;1195009704;0;0;0;79;81;6
22;0,715;A2.jpg;1195009704;0;0;0;78;83;7
23;0,749;A2.jpg;1195009704;0;0;0;78;84;7
24;0,784;A2.jpg;1195009704;0;0;0;77;83;7
25;0,818;A2.jpg;1195009704;0;0;0;77;83;8
26;0,852;A2.jpg;1195009704;0;0;0;77;82;8
27;0,886;A2.jpg;1195009704;0;0;0;78;81;8
28;0,92;A2.jpg;1195009704;0;0;0;78;81;8
29;0,954;A2.jpg;1195009704;0;0;0;79;79;7
30;0,988;A2.jpg;1195009704;0;0;0;79;81;7
31;1 022;A2.jpg;1195009704;0;0;0;78;82;7
32;1 056;A2.jpg;1195009704;0;0;0;77;81;8
33;1,09;A2.jpg;1195009704;0;0;0;76;79;8
34;1 124;A2.jpg;1195009704;0;0;0;75;81;8
35;1 158;A2.jpg;1195009704;0;0;0;77;81;7
36;1 192;A2.jpg;1195009704;0;0;0;78;82;8
37;1 226;A2.jpg;1195009704;0;0;0;80;83;8
38;1,26;A2.jpg;1195009704;0;0;0;81;83;8
39;1 295;A2.jpg;1195009704;0;0;0;81;83;7
40;1 329;A2.jpg;1195009704;0;0;0;80;83;7
41;1 363;A2.jpg;1195009704;0;0;0;79;83;7
42;1 397;A2.jpg;1195009704;0;0;0;77;82;7
43;1 431;A2.jpg;1195009704;0;0;0;79;83;7
44;1 465;A2.jpg;1195009704;0;0;0;81;83;7
45;1 499;A2.jpg;1195009704;0;0;0;81;83;6
46;1 533;A2.jpg;1195009704;0;0;0;80;82;7
47;1 567;A2.jpg;1195009704;0;0;0;80;83;7
48;1 601;A2.jpg;1195009704;0;0;0;79;84;7
49;1 635;A2.jpg;1195009704;0;0;0;78;84;7
50;1 669;A2.jpg;1195009704;0;0;0;77;84;7
51;1 703;A2.jpg;1195009704;0;0;0;79;84;7
52;1 737;A2.jpg;1195009704;0;0;0;80;79;7
53;1 771;A2.jpg;1195009704;0;0;0;79;83;7
54;1 806;A2.jpg;1195009704;0;0;0;78;85;7
55;1,84;A2.jpg;1195009704;0;0;0;79;79;8
56;1 874;A2.jpg;1195009704;0;0;0;79;82;7
57;1 908;A2.jpg;1195009704;0;0;0;79;81;7
58;1 942;A2.jpg;1195009704;0;0;0;79;85;7
59;1 976;A2.jpg;1195009704;0;0;0;78;84;6
60;2,01;A2.jpg;1195009704;0;0;0;77;83;7
61;2 044;A2.jpg;1195009704;0;0;0;78;83;7
62;2 078;A2.jpg;1195009704;0;0;0;77;83;7
63;2 112;A2.jpg;1195009704;0;0;0;78;81;8
64;2 146;A2.jpg;1195009704;0;0;0;78;82;7
65;2,18;A2.jpg;1195009704;0;0;0;80;82;7
66;2 214;A2.jpg;1195009704;0;0;0;81;84;7
67;2 248;A2.jpg;1195009704;0;0;0;82;83;7
68;2 282;A2.jpg;1195009704;0;0;0;84;82;7
69;2 317;A2.jpg;1195009704;0;0;0;82;79;8
70;2 351;A2.jpg;1195009704;0;0;0;80;82;8
71;2 385;A2.jpg;1195009704;0;0;0;81;89;7
72;2 419;A2.jpg;1195009704;0;0;0;81;87;7
73;2 453;A2.jpg;1195009704;0;0;0;81;85;7
74;2 487;A2.jpg;1195009704;0;0;0;80;82;7
75;2 521;A2.jpg;1195009704;0;0;0;80;83;7
76;2 555;A2.jpg;1195009704;0;0;0;79;84;7
77;2 589;A2.jpg;1195009704;0;0;0;81;82;7
78;2 623;A2.jpg;1195009704;0;0;0;84;85;7
79;2 657;A2.jpg;1195009704;0;0;0;81;85;7
80;2 691;A2.jpg;1195009704;0;0;0;79;85;7
81;2 725;A2.jpg;1195009704;0;0;0;80;83;7
