No.;Distance [µm];Name;Time [ms];Z Pos;X Pos;Y Pos;Blue(1);Green(1);Red(1)
1;0;Captured;1194628506;0;0;0;66;54;9
2;0,034;Captured;1194628506;0;0;0;65;55;9
3;0,068;Captured;1194628506;0;0;0;65;53;9
4;0,102;Captured;1194628506;0;0;0;64;52;9
5;0,136;Captured;1194628506;0;0;0;65;52;9
6;0,17;Captured;1194628506;0;0;0;66;52;9
7;0,204;Captured;1194628506;0;0;0;67;52;9
8;0,238;Captured;1194628506;0;0;0;69;52;9
9;0,273;Captured;1194628506;0;0;0;67;53;9
10;0,307;Captured;1194628506;0;0;0;64;53;9
11;0,341;Captured;1194628506;0;0;0;65;51;8
12;0,375;Captured;1194628506;0;0;0;66;52;9
13;0,409;Captured;1194628506;0;0;0;66;53;9
14;0,443;Captured;1194628506;0;0;0;66;55;9
15;0,477;Captured;1194628506;0;0;0;67;58;9
16;0,511;Captured;1194628506;0;0;0;67;59;9
17;0,545;Captured;1194628506;0;0;0;66;53;10
18;0,579;Captured;1194628506;0;0;0;65;56;9
19;0,613;Captured;1194628506;0;0;0;65;53;8
20;0,647;Captured;1194628506;0;0;0;65;57;9
21;0,681;Captured;1194628506;0;0;0;64;55;9
22;0,715;Captured;1194628506;0;0;0;63;56;9
23;0,749;Captured;1194628506;0;0;0;65;55;9
24;0,784;Captured;1194628506;0;0;0;67;55;9
25;0,818;Captured;1194628506;0;0;0;66;54;8
26;0,852;Captured;1194628506;0;0;0;65;54;9
27;0,886;Captured;1194628506;0;0;0;67;54;9
28;0,92;Captured;1194628506;0;0;0;68;55;9
29;0,954;Captured;1194628506;0;0;0;67;55;8
30;0,988;Captured;1194628506;0;0;0;67;57;8
31;1 022;Captured;1194628506;0;0;0;67;53;8
32;1 056;Captured;1194628506;0;0;0;66;52;9
33;1,09;Captured;1194628506;0;0;0;66;54;9
34;1 124;Captured;1194628506;0;0;0;66;50;9
35;1 158;Captured;1194628506;0;0;0;68;55;9
36;1 192;Captured;1194628506;0;0;0;69;53;9
37;1 226;Captured;1194628506;0;0;0;69;55;9
38;1,26;Captured;1194628506;0;0;0;69;54;9
39;1 295;Captured;1194628506;0;0;0;68;52;9
40;1 329;Captured;1194628506;0;0;0;67;53;9
41;1 363;Captured;1194628506;0;0;0;66;54;9
42;1 397;Captured;1194628506;0;0;0;66;56;9
43;1 431;Captured;1194628506;0;0;0;66;55;9
44;1 465;Captured;1194628506;0;0;0;65;52;9
45;1 499;Captured;1194628506;0;0;0;66;52;9
46;1 533;Captured;1194628506;0;0;0;66;51;9
47;1 567;Captured;1194628506;0;0;0;66;54;8
48;1 601;Captured;1194628506;0;0;0;65;54;9
49;1 635;Captured;1194628506;0;0;0;64;53;9
50;1 669;Captured;1194628506;0;0;0;66;53;9
51;1 703;Captured;1194628506;0;0;0;67;54;9
52;1 737;Captured;1194628506;0;0;0;67;55;9
53;1 771;Captured;1194628506;0;0;0;66;54;9
54;1 806;Captured;1194628506;0;0;0;67;54;9
55;1,84;Captured;1194628506;0;0;0;68;54;9
56;1 874;Captured;1194628506;0;0;0;68;54;9
57;1 908;Captured;1194628506;0;0;0;67;52;9
58;1 942;Captured;1194628506;0;0;0;67;54;8
59;1 976;Captured;1194628506;0;0;0;67;55;8
60;2,01;Captured;1194628506;0;0;0;67;55;9
61;2 044;Captured;1194628506;0;0;0;66;54;9
62;2 078;Captured;1194628506;0;0;0;67;52;9
63;2 112;Captured;1194628506;0;0;0;67;53;10
64;2 146;Captured;1194628506;0;0;0;66;54;9
65;2,18;Captured;1194628506;0;0;0;64;53;9
66;2 214;Captured;1194628506;0;0;0;65;50;9
67;2 248;Captured;1194628506;0;0;0;66;53;9
68;2 282;Captured;1194628506;0;0;0;66;52;9
69;2 317;Captured;1194628506;0;0;0;66;52;9
70;2 351;Captured;1194628506;0;0;0;67;53;9
71;2 385;Captured;1194628506;0;0;0;67;53;9
72;2 419;Captured;1194628506;0;0;0;67;54;9
73;2 453;Captured;1194628506;0;0;0;66;55;9
74;2 487;Captured;1194628506;0;0;0;66;52;9
75;2 521;Captured;1194628506;0;0;0;66;50;9
76;2 555;Captured;1194628506;0;0;0;67;55;9
77;2 589;Captured;1194628506;0;0;0;67;55;9
78;2 623;Captured;1194628506;0;0;0;67;54;8
79;2 657;Captured;1194628506;0;0;0;67;55;9
80;2 691;Captured;1194628506;0;0;0;67;54;9
81;2 725;Captured;1194628506;0;0;0;66;54;9
82;2 759;Captured;1194628506;0;0;0;66;53;9
83;2 793;Captured;1194628506;0;0;0;67;55;9
84;2 828;Captured;1194628506;0;0;0;67;54;9
85;2 862;Captured;1194628506;0;0;0;66;52;9
86;2 896;Captured;1194628506;0;0;0;67;54;9
87;2,93;Captured;1194628506;0;0;0;67;54;9
88;2 964;Captured;1194628506;0;0;0;67;54;9
89;2 998;Captured;1194628506;0;0;0;66;53;9
90;3 032;Captured;1194628506;0;0;0;64;53;9
91;3 066;Captured;1194628506;0;0;0;65;53;9
92;3,1;Captured;1194628506;0;0;0;65;51;9
93;3 134;Captured;1194628506;0;0;0;65;54;9
94;3 168;Captured;1194628506;0;0;0;67;53;9
95;3 202;Captured;1194628506;0;0;0;68;53;9
