No.;Distance [µm];Name;Time [ms];Z Pos;X Pos;Y Pos;Blue(1);Green(1);Red(1)
1;0;Captured;1194628506;0;0;0;64;46;16
2;0,034;Captured;1194628506;0;0;0;64;46;16
3;0,068;Captured;1194628506;0;0;0;64;47;17
4;0,102;Captured;1194628506;0;0;0;63;48;16
5;0,136;Captured;1194628506;0;0;0;64;48;16
6;0,17;Captured;1194628506;0;0;0;65;48;16
7;0,204;Captured;1194628506;0;0;0;62;48;14
8;0,238;Captured;1194628506;0;0;0;61;48;15
9;0,273;Captured;1194628506;0;0;0;63;48;15
10;0,307;Captured;1194628506;0;0;0;64;48;15
11;0,341;Captured;1194628506;0;0;0;65;47;15
12;0,375;Captured;1194628506;0;0;0;65;48;15
13;0,409;Captured;1194628506;0;0;0;65;47;14
14;0,443;Captured;1194628506;0;0;0;64;46;15
15;0,477;Captured;1194628506;0;0;0;65;47;15
16;0,511;Captured;1194628506;0;0;0;67;50;15
17;0,545;Captured;1194628506;0;0;0;68;50;16
18;0,579;Captured;1194628506;0;0;0;66;48;16
19;0,613;Captured;1194628506;0;0;0;65;48;16
20;0,647;Captured;1194628506;0;0;0;64;49;16
21;0,681;Captured;1194628506;0;0;0;62;49;16
22;0,715;Captured;1194628506;0;0;0;64;49;16
23;0,749;Captured;1194628506;0;0;0;65;49;15
24;0,784;Captured;1194628506;0;0;0;64;49;14
25;0,818;Captured;1194628506;0;0;0;62;48;15
26;0,852;Captured;1194628506;0;0;0;63;48;16
27;0,886;Captured;1194628506;0;0;0;63;48;15
28;0,92;Captured;1194628506;0;0;0;64;47;15
29;0,954;Captured;1194628506;0;0;0;65;47;15
30;0,988;Captured;1194628506;0;0;0;64;46;15
31;1 022;Captured;1194628506;0;0;0;64;46;15
32;1 056;Captured;1194628506;0;0;0;62;47;15
33;1,09;Captured;1194628506;0;0;0;64;47;16
34;1 124;Captured;1194628506;0;0;0;64;48;16
35;1 158;Captured;1194628506;0;0;0;64;48;16
36;1 192;Captured;1194628506;0;0;0;63;47;15
37;1 226;Captured;1194628506;0;0;0;63;48;15
38;1,26;Captured;1194628506;0;0;0;65;48;15
39;1 295;Captured;1194628506;0;0;0;64;46;16
40;1 329;Captured;1194628506;0;0;0;63;46;16
41;1 363;Captured;1194628506;0;0;0;64;47;16
42;1 397;Captured;1194628506;0;0;0;65;48;16
43;1 431;Captured;1194628506;0;0;0;64;47;17
