Distance (µm),O Kα1 (counts),S Kα1 (counts),C Kα1_2 (counts),Si Kα1 (counts),Mo Lα1 (counts),
0,229,21,9,987,17,
0.0329306710314483,248,19,21,981,20,
0.0658613420628966,268,27,7,1036,27,
0.0987920130943449,251,32,15,1020,31,
0.131722684125793,262,25,11,1026,26,
0.164653355157242,273,25,9,1033,26,
0.19758402618869,281,30,8,1027,28,
0.230514697220138,288,20,15,1005,19,
0.263445368251586,334,21,11,1027,22,
0.296376039283035,291,19,21,1037,17,
0.329306710314483,302,25,10,1007,25,
0.362237381345931,345,34,18,1014,33,
0.39516805237738,323,20,11,1051,20,
0.428098723408828,328,18,6,1003,17,
0.461029394440276,356,24,14,1009,22,
0.493960065471725,347,27,12,992,25,
0.526890736503173,352,29,8,1023,30,
0.559821407534621,333,25,11,1115,25,
0.59275207856607,353,32,16,1055,34,
0.625682749597518,358,31,16,993,27,
0.658613420628966,366,31,15,1102,30,
0.691544091660415,371,25,11,1009,19,
0.724474762691863,368,26,11,1083,21,
0.757405433723311,371,28,13,1071,27,
0.790336104754759,368,24,12,1070,24,
0.823266775786208,384,29,17,1041,26,
0.856197446817656,388,27,7,1080,25,
0.889128117849104,371,21,14,1049,21,
0.922058788880553,337,26,16,1028,28,
0.954989459912001,404,33,9,1137,32,
0.987920130943449,384,22,18,1086,23,
1.0208508019749,371,21,15,1152,24,
1.05378147300635,361,22,9,1090,22,
1.08671214403779,404,42,14,1082,38,
1.11964281506924,382,19,17,1114,19,
1.15257348610069,376,27,16,1009,27,
1.18550415713214,361,27,13,1108,28,
1.21843482816359,351,24,11,1068,25,
1.25136549919504,354,33,10,1075,32,
1.28429617022648,360,28,14,1063,32,
1.31722684125793,370,23,11,1053,22,
1.35015751228938,348,26,19,1106,24,
1.38308818332083,362,27,14,1050,31,
1.41601885435228,351,25,13,1057,26,
1.44894952538373,357,32,14,1082,31,
1.48188019641517,368,28,14,1070,28,
1.51481086744662,344,36,16,1108,38,
1.54774153847807,376,29,16,1143,27,
1.58067220950952,351,18,11,1101,19,
1.61360288054097,366,18,18,1122,19,
