No.;Distance [µm];Name;Time [ms];Z Pos;X Pos;Y Pos;Blue(1);Green(1);Red(1)
1;0;A1_whitebalance.tif;28085622,77;0;0;0;111;17;23
2;0,034;A1_whitebalance.tif;28085622,77;0;0;0;107;17;23
3;0,068;A1_whitebalance.tif;28085622,77;0;0;0;104;17;23
4;0,102;A1_whitebalance.tif;28085622,77;0;0;0;102;16;23
5;0,136;A1_whitebalance.tif;28085622,77;0;0;0;102;16;24
6;0,17;A1_whitebalance.tif;28085622,77;0;0;0;100;16;24
7;0,204;A1_whitebalance.tif;28085622,77;0;0;0;102;17;24
8;0,238;A1_whitebalance.tif;28085622,77;0;0;0;108;17;24
9;0,273;A1_whitebalance.tif;28085622,77;0;0;0;108;16;24
10;0,307;A1_whitebalance.tif;28085622,77;0;0;0;107;17;23
11;0,341;A1_whitebalance.tif;28085622,77;0;0;0;107;17;22
12;0,375;A1_whitebalance.tif;28085622,77;0;0;0;107;16;22
13;0,409;A1_whitebalance.tif;28085622,77;0;0;0;111;16;21
14;0,443;A1_whitebalance.tif;28085622,77;0;0;0;120;16;24
15;0,477;A1_whitebalance.tif;28085622,77;0;0;0;119;17;25
16;0,511;A1_whitebalance.tif;28085622,77;0;0;0;116;17;25
17;0,545;A1_whitebalance.tif;28085622,77;0;0;0;115;17;24
18;0,579;A1_whitebalance.tif;28085622,77;0;0;0;113;17;23
19;0,613;A1_whitebalance.tif;28085622,77;0;0;0;111;16;24
20;0,647;A1_whitebalance.tif;28085622,77;0;0;0;113;16;24
21;0,681;A1_whitebalance.tif;28085622,77;0;0;0;109;17;24
22;0,715;A1_whitebalance.tif;28085622,77;0;0;0;109;16;24
23;0,749;A1_whitebalance.tif;28085622,77;0;0;0;109;17;23
24;0,784;A1_whitebalance.tif;28085622,77;0;0;0;112;16;23
25;0,818;A1_whitebalance.tif;28085622,77;0;0;0;117;16;23
26;0,852;A1_whitebalance.tif;28085622,77;0;0;0;113;17;23
27;0,886;A1_whitebalance.tif;28085622,77;0;0;0;107;17;23
28;0,92;A1_whitebalance.tif;28085622,77;0;0;0;107;16;23
29;0,954;A1_whitebalance.tif;28085622,77;0;0;0;107;16;23
30;0,988;A1_whitebalance.tif;28085622,77;0;0;0;109;16;22
31;1 022;A1_whitebalance.tif;28085622,77;0;0;0;107;15;22
32;1 056;A1_whitebalance.tif;28085622,77;0;0;0;109;17;22
33;1,09;A1_whitebalance.tif;28085622,77;0;0;0;109;16;23
34;1 124;A1_whitebalance.tif;28085622,77;0;0;0;115;17;23
35;1 158;A1_whitebalance.tif;28085622,77;0;0;0;116;17;22
36;1 192;A1_whitebalance.tif;28085622,77;0;0;0;111;17;23
37;1 226;A1_whitebalance.tif;28085622,77;0;0;0;111;17;22
38;1,26;A1_whitebalance.tif;28085622,77;0;0;0;111;17;23
39;1 295;A1_whitebalance.tif;28085622,77;0;0;0;109;17;22
40;1 329;A1_whitebalance.tif;28085622,77;0;0;0;109;17;23
41;1 363;A1_whitebalance.tif;28085622,77;0;0;0;108;16;23
42;1 397;A1_whitebalance.tif;28085622,77;0;0;0;107;16;23
43;1 431;A1_whitebalance.tif;28085622,77;0;0;0;109;16;23
44;1 465;A1_whitebalance.tif;28085622,77;0;0;0;112;16;24
45;1 499;A1_whitebalance.tif;28085622,77;0;0;0;109;16;24
46;1 533;A1_whitebalance.tif;28085622,77;0;0;0;105;16;24
47;1 567;A1_whitebalance.tif;28085622,77;0;0;0;107;17;24
48;1 601;A1_whitebalance.tif;28085622,77;0;0;0;107;17;24
49;1 635;A1_whitebalance.tif;28085622,77;0;0;0;112;17;23
50;1 669;A1_whitebalance.tif;28085622,77;0;0;0;111;17;23
51;1 703;A1_whitebalance.tif;28085622,77;0;0;0;108;16;24
52;1 737;A1_whitebalance.tif;28085622,77;0;0;0;108;16;24
