No.;Distance [µm];Name;Time [ms];Z Pos;X Pos;Y Pos;Blue(1);Green(1);Red(1)
53;1 771;A1_whitebalance.tif;28085622,77;0;0;0;107;16;23
54;1 806;A1_whitebalance.tif;28085622,77;0;0;0;112;16;22
55;1,84;A1_whitebalance.tif;28085622,77;0;0;0;109;17;23
56;1 874;A1_whitebalance.tif;28085622,77;0;0;0;107;17;24
57;1 908;A1_whitebalance.tif;28085622,77;0;0;0;103;16;23
58;1 942;A1_whitebalance.tif;28085622,77;0;0;0;105;18;23
59;1 976;A1_whitebalance.tif;28085622,77;0;0;0;104;17;23
60;2,01;A1_whitebalance.tif;28085622,77;0;0;0;107;16;23
61;2 044;A1_whitebalance.tif;28085622,77;0;0;0;109;16;23
62;2 078;A1_whitebalance.tif;28085622,77;0;0;0;108;17;23
63;2 112;A1_whitebalance.tif;28085622,77;0;0;0;105;17;23
64;2 146;A1_whitebalance.tif;28085622,77;0;0;0;105;17;24
65;2,18;A1_whitebalance.tif;28085622,77;0;0;0;105;16;24
66;2 214;A1_whitebalance.tif;28085622,77;0;0;0;100;16;24
67;2 248;A1_whitebalance.tif;28085622,77;0;0;0;105;17;23
68;2 282;A1_whitebalance.tif;28085622,77;0;0;0;109;16;23
69;2 317;A1_whitebalance.tif;28085622,77;0;0;0;109;16;22
70;2 351;A1_whitebalance.tif;28085622,77;0;0;0;108;16;23
71;2 385;A1_whitebalance.tif;28085622,77;0;0;0;104;16;24
72;2 419;A1_whitebalance.tif;28085622,77;0;0;0;100;17;24
73;2 453;A1_whitebalance.tif;28085622,77;0;0;0;105;17;24
74;2 487;A1_whitebalance.tif;28085622,77;0;0;0;105;17;24
75;2 521;A1_whitebalance.tif;28085622,77;0;0;0;104;17;23
76;2 555;A1_whitebalance.tif;28085622,77;0;0;0;103;17;23
77;2 589;A1_whitebalance.tif;28085622,77;0;0;0;108;16;24
78;2 623;A1_whitebalance.tif;28085622,77;0;0;0;113;16;24
79;2 657;A1_whitebalance.tif;28085622,77;0;0;0;109;16;23
