No.;Distance [µm];Name;Time [ms];Z Pos;X Pos;Y Pos;Blue(1);Green(1);Red(1)
1;0;A1_whitebalance.tif;28085622,77;0;0;0;115;23;35
2;0,034;A1_whitebalance.tif;28085622,77;0;0;0;113;24;35
3;0,068;A1_whitebalance.tif;28085622,77;0;0;0;115;23;35
4;0,102;A1_whitebalance.tif;28085622,77;0;0;0;115;23;33
5;0,136;A1_whitebalance.tif;28085622,77;0;0;0;115;23;34
6;0,17;A1_whitebalance.tif;28085622,77;0;0;0;115;21;33
7;0,204;A1_whitebalance.tif;28085622,77;0;0;0;113;22;33
8;0,238;A1_whitebalance.tif;28085622,77;0;0;0;113;23;32
9;0,273;A1_whitebalance.tif;28085622,77;0;0;0;113;23;33
10;0,307;A1_whitebalance.tif;28085622,77;0;0;0;116;23;34
11;0,341;A1_whitebalance.tif;28085622,77;0;0;0;115;23;35
12;0,375;A1_whitebalance.tif;28085622,77;0;0;0;117;21;35
13;0,409;A1_whitebalance.tif;28085622,77;0;0;0;119;22;34
14;0,443;A1_whitebalance.tif;28085622,77;0;0;0;115;22;33
15;0,477;A1_whitebalance.tif;28085622,77;0;0;0;111;22;35
16;0,511;A1_whitebalance.tif;28085622,77;0;0;0;113;22;35
17;0,545;A1_whitebalance.tif;28085622,77;0;0;0;115;21;35
18;0,579;A1_whitebalance.tif;28085622,77;0;0;0;115;22;36
19;0,613;A1_whitebalance.tif;28085622,77;0;0;0;113;23;36
20;0,647;A1_whitebalance.tif;28085622,77;0;0;0;109;22;33
21;0,681;A1_whitebalance.tif;28085622,77;0;0;0;112;22;30
22;0,715;A1_whitebalance.tif;28085622,77;0;0;0;113;21;32
23;0,749;A1_whitebalance.tif;28085622,77;0;0;0;113;21;34
24;0,784;A1_whitebalance.tif;28085622,77;0;0;0;112;22;35
25;0,818;A1_whitebalance.tif;28085622,77;0;0;0;113;21;34
26;0,852;A1_whitebalance.tif;28085622,77;0;0;0;115;22;34
27;0,886;A1_whitebalance.tif;28085622,77;0;0;0;113;23;33
28;0,92;A1_whitebalance.tif;28085622,77;0;0;0;113;23;33
29;0,954;A1_whitebalance.tif;28085622,77;0;0;0;113;23;33
30;0,988;A1_whitebalance.tif;28085622,77;0;0;0;116;23;34
31;1 022;A1_whitebalance.tif;28085622,77;0;0;0;115;20;33
32;1 056;A1_whitebalance.tif;28085622,77;0;0;0;112;22;35
33;1,09;A1_whitebalance.tif;28085622,77;0;0;0;115;21;35
34;1 124;A1_whitebalance.tif;28085622,77;0;0;0;115;23;35
35;1 158;A1_whitebalance.tif;28085622,77;0;0;0;115;22;34
36;1 192;A1_whitebalance.tif;28085622,77;0;0;0;113;21;32
